chandler,coming from the bedroom say goodbye elves off tulsa
monica,cant believe youre not gon here for christmas
monica,hey hon would you help get the plates down
chandler,yeah hey heres idea why dont use our wedding china today
monica,think should save our china for something really speciallike the queen england comes over
chandler,honey she keeps cancelling ustake the hint
monica,what something gets broken theyre expensive
chandler,what the point having them never use them
monica,okbut something gets broken and then the queen comes over
phoebe,hey ross glad someones here could you zip
ross,sure
phoebe,thank you can you believe one between apartment and here offered that for
ross,people shakes head they sit why you all dressed
phoebe,umm mikes picking for date
ross,yea now how that going getting serious
phoebe,dunno dunno you know mean like him but ready take grade loins off the meat market
ross,you know really admire your whole dating attitude its healthy always like this moving fast this moving slow wheres this going
phoebe,yea you know you are bit drama queen
monica,thank you
monica,thank youshe looks the customer waiting for compliment you havent said anything
monica,ohpleaseii welcome criticism
monica,what musician
phoebe,playing guitar and singing and theres country called argentinaaaa its place ive never seeeeen but told for fifty pesos you can buy human spleen humaaan spleeeeen
monica,what are you doing here
phoebe,well you said that you had customers lined the street here entertain
monica,great
phoebe,yeah really has been great too you know some this people must have seen play before because they were requesting bunch songs yeah you suck and shut and home
monica,listen phoebe
chandler,picking the telephone answering with frog his throat hello clears his throat but still has the same frog his throat when speaks again hello
monica,her apartment screaming love new job
chandler,honey youre screaming
monica,you bet your ass just had the best first day ever the kitchen twice big allessandros
chandler,yawning thats great
monica,yeah aaand clean not just health department clean monica clean
phoebe,hey you guys couldnt get reservation for the night birthday have dinner thursday night instead
joey,thursday but thats halloween
joey,its just spooky thats all
ross,mike coming dinner
phoebe,its first birthday with boyfriend and has work uch get mad him but think its little soon show true colors
rachel,all right emma loves him
joey,why wouldnt she hes wonderful person
monica,hey phoebe how you doin you feelin better
phoebe,breaking sucks really miss mike
chandler,sorry
phoebe,god tried everything make myself feel better even tried writing song about but cant think anything that rhymes with aarrgghh pause hey monica really need your help getting through this
chandler,youre not gon need help
phoebe,well when get the point where you know ready hear cruel mocking jokes about mike gon come you
chandler,good cause ive already thought ive just thought fourth goes towards the counter
phoebe,mean know did the right thing you know mike never wants get married and shouldnt relationship that has future but pretty soon gon miss him much gon wan see him again and you have stop from doing that
monica,you got
phoebe,after pause unless maybe its too crazy about this alright you know there future but that doesnt mean still cant have fun you know what forget what said
rachel,jujujust stay calm just calm for all knows were just hanging out together right just nonchalant joey like stands attention with his chest forward and his hands his sides looking the ceiling with his lips pouted thats not nonchalant
joey,idea what means
rachel,okay just hide
ross,knocks rach
rachel,coming try under the bed try under the bed
rachel,theres room under the bed looks around because she cant find joey anymore
ross,everything okay
rachel,yeah still looking see where joey went and opens the door
ross,hey
joey,okay what have wanted always together
chandler,braid each others hair then ride horseback the beach
joey,when you get home tomorrow night you and are gon the wizards knicks game courtside
chandler,courtside god
joey,yeah maybe michael jordan will dive for the ball and break jaw with his knee
chandler,that cool ill let monica know
