person,dialogue
ross,blanket joe cloak invisibility
ross,excited look paleontologists
joey,know gon pasty folks pool tomorrow woman goes towards
joey,charlie think ive recognized happens time
joey,never happens
ross,wow flattering
ross,sure dear takes notepad
ross,sarah dig doctor ross geller
ross,yeah sarah like introduce colleague professor wheeler aand joey tribbiani
joey,god actor youd probably recognize little show called days lives
phoebe,looks relieved yeah know thats bob
phoebe,well much pet know occasionally visitor put food foryou knowkinda like santaexcept santa doesnt poof plate cookies
phoebe,fine means much ill get rid bob
phoebe,weird think hes gross yet youre willing eat crackers mike desperately tries get rid crackers mouth uses hand clean tongue
rachel,hello
rachel,gavin want say thanks watching emma yesterday presentation really owe apology
phoebe,knuckles kinda hairy
joey,man get done
phoebe,wow talking high maintenance
joey,hey hey dye hair
phoebe,woman
joey,arghhh double standards
phoebe,forget coming mikes piano bar tonight
monica,dont get sing
phoebe,everybody sings much fun last time adorable old man got forgot words flipped
monica,good singing
phoebe,whats matter scared youre afraid better singer youre afraid gon beat singing
monica,working wow must growing
ross,yeah figured win could balcony see night rainbow gremlins dancing top
chandler,hystericaldont touch phone ill get ill get ill get picks phone
ross,monicathink washed hands
chandler,receiverhello hey charlie know
rachel,monicawhats going
monica,chandler supposed find hes getting assistent job agency interns hiring three
joey,ooh tough odds
ross,mockinglyyeah sure thing like state lottery
joey,smilinglook whos coming around
chandler,still phonedamnit alright call know
joey,exciteddid get
ross,youre really coming back
chandler,yeah paperwork needs filed end year dont get done ill fired
monica,unfair dont even like job
phoebe,like job
joey,love job
rachel,yeah cant wait back work
ross,cant get enough dinosaurs
chandler,sorry wont
monica,hard enough seeing week christmas alright understand
chandler,thanks kiss ill see new years day
monica,shocked youre gon new years eve
chandler,explain
monica,yeah like going let talk queen
joey,wow parade really good yearman horses crap looks sideways disgust
chandler,muskogee thats like four hours tulsa woo hoo
joey,god
chandler,arent one stars popular daytime soap days lives
joey,yeah forgot supposed cant believe forgot usually write stuff like arm
joey,stupid long sleeves
chandler,going
joey,sighs guess going come really good reason wasnt producer going mad mehe sat yesterday said everyone six sharp means tribbiani shrugs like kind idiot
chandler,well proved wrong
ross,much better guy guy fun never worrying terns anything serious
phoebe,wouldnt say never know theres guy pause well pause well theres got someone
ross,isnt thats saying happy
phoebe,god youre right
ross,know yet ready next date
phoebe,cant believe never realized thirtys never longterm relationship god starts crying whats wrong
ross,theres nothing wrong mean dont strike type person wants get married anyway
phoebe,wan get married grabs tissue
ross,please dont cry pheebs dont know talking ive divorced three times
phoebe,least youve married god wan trade lives ross cries
phoebe,nothing excited date mike ross geller mike haaaaa starts crying
phoebe,yeah
monica,know much love listening music know
monica,kind classy place
phoebe,pause say
phoebe,fancy dress still playing singing wasnt fat woman smelled like garbage everyone wasnt fat woman smelled like garbaaaaaage monica showing dress classy
chandler,clearly interested awesome
monica,people nice theres one guy geoffrey hes maitre chandler love without doubt funniest guy ever met chandler almost asleep sits straight bed instant cant believe heard
phoebe,know phoebe picks little packet sugar shakes realises cant open one hand doesnt want let mikes hand tries tear open packet one hand
phoebe,yeah kinda mike lets hand well hows takes mikes hand puts breast tears open sugar puts coffee mike thinks nods appreciative hold hands joey enters sees two sitting couch holding hands
joey,aaaaahhhhh sweeeeeet voice aaahhh look two holding hands huh getting serious phoebe mike embarrassed start babbling look away talked yet say nothing smile making uncomfortable smiles becoming forced speaks mike bigger youd hit huh aaaaaahhhhhh turns away bar
phoebe,sorry sorry obviously way early conversation
phoebe,flash answers maybe
phoebe,impatient know mike dont keep digging
rachel,pheebs would make reservation five one stay home watch emma ross one dinner
phoebe,rachel
ross,actually thinking maybe could
phoebe,yay
ross,thanks put lot extra thoughts gift
phoebe,alright okay fun hey know havent together six long time
monica,talking together right
rachel,mon chandlers
monica,dear god
chandler,good morning everyone nice see team together first time get started questions colleague raises hand yes ken
chandler,laughs well dont believe everything hear ken turning away files yeah thats true alright lets get started take look last quarters figures female next chandler starts smoking towards heross claudia arent supposed blow smoke bosses ass
chandler,nonono smoked years quit right cant remember everyone youre allowed smoke office right
monica,really thats want
phoebe,test failed
monica,damn rookie mistake
ross,yelling chandler sex dinosaurs
chandler,believe read somewhere
ross,funny physically impossible depending species six foot long pause funny
chandler,respectfully disagree
ross,cant believe put alumni page
chandler,cares nobody reads things
ross,youd better hope read put page today
chandler,dont page
ross,know joey
rachel,really dont looks around
ross,talk minute
rachel,yeah sure looks outside corridor joey
joey,dont believe guys
phoebe,shhh listening side wall
ross,told joey broken part reason feelings
rachel,clearly listening still trying find joey went uhhuh right yeah
ross,know wanted ask charlie since day met
rachel,still searching know know really hard
ross,anyway one thing lead another know kissing mean angry think joey gon
chandler,iii know youre right wan see ive got figure way tell joey hes really looking forward
monica,phone tell havent seen wife long time apartment tell longdistance relationship really difficult tell thatwhat little time precious
chandler,yeah yeah yeah ill think something
ross,wow lookerhmi mean theerthat dress
rachel,hope ends sentences good
ross,notheyre good long since ive seen like clean good
rachel,ahh looks well thank haha ross continues stare rachel okay stop looking like last time happened pointing towards rosss crotch happened pointing emma
ross,right looking away
ross,excited yourerfirst night away emma
rachel,yeah phoebe gon much fun thank watching baby way
monica,two thousand dollars
joey,two thousand dollars think soap oprea star
monica,yeah
joey,thats right opens drawer rummages rachel enters
rachel,guys
joey,oowhats bag
rachel,erwell know emma started crawling realised place unsafe baby went store got stuff babyproof apartment
joey,ohbabyproofingwhy big deal yknowwhen kid like whoops joey fell stairs whoops joey electrocuted huh
monica,anyway ermare going get handyman install stuff
rachel,going joey makes sarcastic laugh
joey,youre gon
ross,guys fun isnt know four hangin
joey,dude okay fajitas gon ready
ross,fine hey great proud theres weirdness tension
rachel,awareness
ross,make great foursome stuff together ooh lets take trip okay think
ross,fajitas
rachel,look charlie want know ross little trouble adjusting thought joey know normally doesnt drink like
ross,fajitas careful hot plate hot plate
rachel,ross dont even oven mitts
ross,gon hurt tomorrow
phoebe,okay well crazy cant seriously talking taking one kids
ross,damn
joey,entering room hey
rachel,hey
joey,whats happenin
rachel,yeah real shame cant make onewoman show tonight
joey,love got get early next day know work comes first
rachel,yeah yeah yeah plays answering machine
joey,yelling stupid jane rogers
rachel,angry party tonight
joey,kinda thing days lifes people
rachel,pheebs thats men
phoebe,know way party later mike know cause gon smell like another guy shop assistant yeah
phoebe,good dating russian cab driver shop assistant seriously anyone buy smell like beets
rachel,melanie griffith working girl think want
